AICP Number,Tax Code,Tax Description,AICP Description
4010,5000,Cost of Goods Sold,Pre-Load, Encode and Mix Prep
4020,5000,Cost of Goods Sold,Sound Effects / Music Search
4030,5000,Cost of Goods Sold,Voice Casting
4040,5000,Cost of Goods Sold,Transcription / Translation
4050,5000,Cost of Goods Sold,
4060,5000,Cost of Goods Sold,
4070,5000,Cost of Goods Sold,
4110,5300,Subcontractor,VO Record
4120,5300,Subcontractor,ADR
4130,5000,Cost of Goods Sold,5.1 Mix
4140,5000,Cost of Goods Sold,Other Format Mixing
4150,5000,Cost of Goods Sold,Record and Mix
4160,5300,Subcontractor,Scratch Record
4170,5000,Cost of Goods Sold,Record and Mix  - Overtime
4180,5000,Cost of Goods Sold,
4190,5000,Cost of Goods Sold,
4210,5000,Cost of Goods Sold,Music Licensing (Stock/Original)
4220,5000,Cost of Goods Sold,Sound Effects
4230,5000,Cost of Goods Sold,Sound Design
4240,5000,Cost of Goods Sold,Digital Edit
4250,5000,Cost of Goods Sold,
4260,5000,Cost of Goods Sold,
4270,5000,Cost of Goods Sold,
4310,5000,Cost of Goods Sold,Remote Studio Costs
4320,5000,Cost of Goods Sold,Digital Patch: ISDN
4330,5000,Cost of Goods Sold,Digital Patch: ISDN INT'L
4340,5000,Cost of Goods Sold,Digital Patch: Source Connect
4350,5000,Cost of Goods Sold,Digital Patch: Skype / Phone
4360,5300,Subcontractor,Field Recording
4370,5000,Cost of Goods Sold,
4380,5000,Cost of Goods Sold,
4390,5000,Cost of Goods Sold,
4410,5000,Cost of Goods Sold,Media
4420,5000,Cost of Goods Sold,Digital File Creation
4430,5000,Cost of Goods Sold,Uploads & Machine Room
4440,5000,Cost of Goods Sold,Archive
4450,5000,Cost of Goods Sold,Audio Relay
4460,5000,Cost of Goods Sold,Facility Overtime
4470,5000,Cost of Goods Sold,Weekend Key Fee
4480,5000,Cost of Goods Sold,Transfer & Stock
4490,5000,Cost of Goods Sold,
4510,5200,Travel,Deliveries & Messengers
4520,5200,Travel,Shipping
4530,5000,Cost of Goods Sold,Inventory/Packing
4540,5200,Travel,Shipping to Storage
4550,5000,Cost of Goods Sold,
4610,5000,Cost of Goods Sold,
4620,5000,Cost of Goods Sold,
4630,5000,Cost of Goods Sold,
4640,5000,Cost of Goods Sold,
4650,5000,Cost of Goods Sold,
4660,5000,Cost of Goods Sold,
4670,5000,Cost of Goods Sold,
4680,5000,Cost of Goods Sold,
5010,5000,Cost of Goods Sold,Titling
5020,5000,Cost of Goods Sold,Color Grading
5030,5000,Cost of Goods Sold,Pre Load/Scanning
5040,5000,Cost of Goods Sold,Data I/O
5050,5000,Cost of Goods Sold,Transfers
5060,5000,Cost of Goods Sold,Remote Set Up
5070,5000,Cost of Goods Sold,Remote Room
5080,5000,Cost of Goods Sold,Additional Machines
5090,5000,Cost of Goods Sold,
5110,5000,Cost of Goods Sold,Final Conform
5120,5000,Cost of Goods Sold,Compositing / VFX
5130,5300,Subcontractor,Flame Assistant - Roto
5140,5300,Subcontractor,2D GFX / Design
5150,5300,Subcontractor,Motion Graphics
5160,5000,Cost of Goods Sold,Color Correction
5170,5000,Cost of Goods Sold,3D Animation
5180,5000,Cost of Goods Sold,3D Modeling
5190,5000,Cost of Goods Sold,
5210,5000,Cost of Goods Sold,Archiving
5220,5000,Cost of Goods Sold,Uncompressed Files
5230,5000,Cost of Goods Sold,Retouching
5240,5000,Cost of Goods Sold,Standards Conversions
5250,5000,Cost of Goods Sold,
5260,5000,Cost of Goods Sold,
5270,5000,Cost of Goods Sold,
5280,5000,Cost of Goods Sold,
5290,5000,Cost of Goods Sold,
5310,5000,Cost of Goods Sold,Additional Machines
5320,5000,Cost of Goods Sold,Drives / Media
5330,5000,Cost of Goods Sold,Generic Master
5340,5000,Cost of Goods Sold,Master
5350,5000,Cost of Goods Sold,Deliverables
5360,5000,Cost of Goods Sold,Additional Outputs
5370,5000,Cost of Goods Sold,Archiving Storage Device
5380,5000,Cost of Goods Sold,Compressed File Dubs
5390,5000,Cost of Goods Sold,Postings
5410,5200,Travel,Deliveries & Messengers
5420,5200,Travel,Shipping
5430,5000,Cost of Goods Sold,Inventory/Packing
5440,5200,Travel,Shipping to Storage
5460,5000,Cost of Goods Sold,
5470,5000,Cost of Goods Sold,
5480,5000,Cost of Goods Sold,
5490,5000,Cost of Goods Sold,
5510,5000,Cost of Goods Sold,
5520,5000,Cost of Goods Sold,
5530,5000,Cost of Goods Sold,
5540,5000,Cost of Goods Sold,
5550,5000,Cost of Goods Sold,
5560,5000,Cost of Goods Sold,
5570,5000,Cost of Goods Sold,
5580,5000,Cost of Goods Sold,
5590,5000,Cost of Goods Sold,
7010,5000,Cost of Goods Sold,Storage Devices
7020,5000,Cost of Goods Sold,Archiving/LTO
7030,5000,Cost of Goods Sold,Archive Storage Devices
7040,5000,Cost of Goods Sold,Tape-to-Film Transfer
7050,5000,Cost of Goods Sold,Standards Conversion
7060,5000,Cost of Goods Sold,Stock Footage
7070,5000,Cost of Goods Sold,Satellite/Digital Transmission
7080,5000,Cost of Goods Sold,Data Transmission Charge
7090,5000,Cost of Goods Sold,
7110,5200,Travel,Deliveries & Messengers
7120,5200,Travel,Shipping
7130,5000,Cost of Goods Sold,Inventory/Packing
7140,5200,Travel,Shipping to Storage
7150,5000,Cost of Goods Sold,Additional Machines
7160,5000,Cost of Goods Sold,
7170,5000,Cost of Goods Sold,
7180,5000,Cost of Goods Sold,
7190,5000,Cost of Goods Sold,
7210,5200,Travel,Airfare
7220,5200,Travel,Hotel
7230,5200,Travel,Per Diem
7240,5200,Travel,Transportation
7250,5200,Travel,Assistant Editor Travel
7260,5000,Cost of Goods Sold,
7270,5000,Cost of Goods Sold,
7280,5000,Cost of Goods Sold,
7290,5000,Cost of Goods Sold,
7310,5000,Cost of Goods Sold,Editorial Supplies
7320,5000,Cost of Goods Sold,Equipment Rental
7330,5000,Cost of Goods Sold,Working Meals
7340,5000,Cost of Goods Sold,Weekend Fee
7350,5000,Cost of Goods Sold,
7360,5000,Cost of Goods Sold,
7370,5000,Cost of Goods Sold,
8010,5300,Subcontractor,Pre-Production Labor
8020,5300,Subcontractor,Editor Labor
8030,5300,Subcontractor,Editor OT/Weekend
8040,5300,Subcontractor,Assistant Labor
8050,5300,Subcontractor,Assistant IT/Weekend
8060,5300,Subcontractor,Session Supervisory Fee
8070,5300,Subcontractor,Producer / Coordinator
8080,5300,Subcontractor,Set Supervision
8090,5000,Cost of Goods Sold,
8100,5300,Subcontractor,Creative Fees
8110,5000,Cost of Goods Sold,
8120,5000,Cost of Goods Sold,
8130,5000,Cost of Goods Sold,
8140,5000,Cost of Goods Sold,
10000,5000,Cost of Goods Sold,VFX
10000-1,5300,Subcontractor,Visual Effects Artist
10000-2,5000,Cost of Goods Sold,
10000-3,5000,Cost of Goods Sold,
10000-4,5000,Cost of Goods Sold,
10001,5000,Cost of Goods Sold,Section Title
10001-1,5000,Cost of Goods Sold,
10001-2,5000,Cost of Goods Sold,
10001-3,5000,Cost of Goods Sold,
10001-4,5000,Cost of Goods Sold,
10001-5,5000,Cost of Goods Sold,
10002,5000,Cost of Goods Sold,Section Title
10002-1,5000,Cost of Goods Sold,
10002-2,5000,Cost of Goods Sold,
10002-3,5000,Cost of Goods Sold,
10002-4,5000,Cost of Goods Sold,
10002-5,5000,Cost of Goods Sold,
10003,5000,Cost of Goods Sold,Section Title
10003-1,5000,Cost of Goods Sold,
10003-2,5000,Cost of Goods Sold,
1000-3,5000,Cost of Goods Sold,
10003-4,5000,Cost of Goods Sold,
10003-5,5000,Cost of Goods Sold,
10004,5000,Cost of Goods Sold,Section Title
10004-1,5000,Cost of Goods Sold,
10004-2,5000,Cost of Goods Sold,
10004-3,5000,Cost of Goods Sold,
10004-4,5000,Cost of Goods Sold,
10004-5,5000,Cost of Goods Sold,
